"Time [ms]","InducedVoltage(Phase_A)-InducedVoltage(Phase_B) [V]"
0,90.6921359402679
0.04,95.3572197607253
0.08,100.022303581183
0.12,104.778412693573
0.16,109.802420827445
0.2,114.513704002403
0.24,117.174485822718
0.28,119.310685546178
0.32,120.874574122008
0.36,122.463692621638
0.4,124.908906578254
0.44,127.3466380065
0.48,130.170460079518
0.52,133.515326455296
0.56,135.66658091329
0.6,136.32231705302
0.64,138.122069107017
0.68,140.734453440646
0.72,144.064068321439
0.76,149.497982082079
0.8,158.315490463316
0.84,166.838901876786
0.88,171.505121632519
0.92,174.430083441396
0.96,176.9709069363
1,179.748402243665
1.04,182.08892570833
1.08,183.981252803994
1.12,186.515522783037
1.16,189.255072663444
1.2,190.846036055985
1.24,191.641063290279
1.28,189.187237014039
1.32,186.02006939385
1.36,185.136624523906
1.4,187.118481949266
1.44,189.841260467886
1.48,191.884547572031
1.52,190.424803648508
1.56,187.637606657678
1.6,185.991491567869
1.64,183.692421368677
1.68,181.48271698109
1.72,178.544184521134
1.76,176.096288460236
1.8,173.53923350727
1.84,170.298013186116
1.88,164.36182651098
1.92,155.33124021777
1.96,147.491612975729
2,142.26988421467
2.04,139.986345931038
2.08,137.497020978485
2.12,135.840019721111
2.16,134.90118655647
2.2,132.98718758923
2.24,129.347493645004
2.28,126.158181887083
2.32,124.059827971676
2.36,121.8922067944
2.4,120.283666663609
2.44,118.500835132261
2.48,116.700437024076
2.52,113.400185481153
2.56,107.817388870133
2.6,103.072119513072
2.64,98.5288991322875
2.68,93.8741497000017
2.72,89.4610259637007
2.76,86.345033633577
2.8,83.5040226066483
2.84,79.1874365914227
2.88,73.7844232206693
2.92000000000001,68.4121619654064
2.96000000000001,63.6945468792411
3.00000000000001,59.8068783522927
3.04000000000001,56.8039831855236
3.08000000000001,52.3491772183547
3.12000000000001,47.0420252088842
3.16000000000001,40.3992521858774
3.20000000000001,32.0930786426092
3.24000000000001,22.8650770539587
3.28000000000001,14.2359545392493
3.32000000000001,7.12515870578549
3.36000000000001,-1.085340082024
3.40000000000001,-9.4881685298701
3.44000000000001,-17.4534233840843
3.48000000000001,-25.9175189151077
3.52000000000001,-34.9910597052909
3.56000000000001,-43.2114245585105
3.60000000000001,-48.715550469974
3.64000000000001,-53.578714053103
3.68000000000001,-57.7875986243831
3.72000000000001,-61.4144125620063
3.76000000000001,-65.0543246255658
3.80000000000001,-70.0894147039655
3.84000000000001,-75.9655741190294
3.88000000000001,-80.9251869254405
3.92000000000001,-83.9868365477558
3.96000000000001,-87.0617717432788
4.00000000000001,-91.2809251183619
4.04000000000001,-95.3571861632342
4.08000000000001,-100.022303576757
4.12000000000001,-104.778412692032
4.16000000000001,-109.802420826074
4.20000000000001,-114.513703999378
4.24000000000001,-117.174485822496
4.28000000000001,-119.310685541512
4.32000000000001,-120.874574123844
4.36000000000001,-122.463692619804
4.40000000000001,-124.908906576852
4.44000000000001,-127.346638008673
4.48000000000001,-130.170460074479
4.52000000000001,-133.515326455411
4.56000000000001,-135.66658091197
4.60000000000001,-136.322317053185
4.64000000000001,-138.122069104463
4.68000000000001,-140.734453439606
4.72000000000001,-144.064068322278
4.76000000000001,-149.497982077597
4.80000000000001,-158.315490457736
4.84000000000001,-166.838901873841
4.88000000000001,-171.505121628131
4.92000000000001,-174.430083441843
4.96000000000001,-176.970906934809
5.00000000000001,-179.748402242078
5.04000000000001,-182.088925709186
5.08000000000001,-183.981252801249
5.12000000000001,-186.515522781793
5.16000000000001,-189.255072663279
5.20000000000001,-190.84603605635
5.24000000000001,-191.641063287858
5.28000000000001,-189.187237016549
5.32000000000001,-186.020069394913
5.36000000000001,-185.13662471012
5.40000000000001,-187.118481948724
5.44000000000001,-189.841260471813
5.48000000000001,-191.884547573628
5.52000000000001,-190.424803642756
5.56000000000001,-187.637606655759
5.60000000000001,-185.991491570729
5.64000000000001,-183.692421366826
5.68000000000001,-181.482716980739
5.72000000000001,-178.544184519253
5.76000000000001,-176.096288457525
5.80000000000001,-173.539233508012
5.84000000000001,-170.29801318435
5.88000000000001,-164.361826505774
5.92000000000001,-155.331240214281
5.96000000000001,-147.491612972809
6.00000000000001,-142.269884213832
6.04000000000001,-139.986345928173
6.08000000000001,-137.497020974832
6.12000000000001,-135.840019719911
6.16000000000001,-134.901186559173
6.20000000000001,-132.987187587676
