"Time [ms]","L(Phase_A,Phase_B) [uH]"
0,-80.1386373665329
0.04,-62.908880683603
0.08,-49.6350262609465
0.12,-42.0769639569046
0.16,-41.9506191183442
0.2,-45.7552340462782
0.24,-51.1937469160186
0.28,-56.8612405809796
0.32,-62.040354689139
0.36,-66.1187711453414
0.4,-69.203789495164
0.44,-71.2917574344502
0.48,-72.3216459531219
0.52,-71.150998249662
0.56,-65.0902269660817
0.6,-54.7744708051235
0.64,-42.349906245668
0.68,-31.3776383640102
0.72,-23.9034859370901
0.76,-20.5369569105108
0.8,-21.6326002815402
0.84,-27.563607815133
0.88,-38.3307386600625
0.92,-46.9281009600848
0.96,-58.2271595345399
1,-70.7386047007823
1.04,-84.531627250768
1.08,-107.385178871747
1.12,-148.513759925104
1.16,-190.686784921911
1.2,-230.729102510915
1.24,-267.127513005439
1.28,-300.657851784564
1.32,-331.004636098467
1.36,-357.376387884247
1.4,-379.405454119753
1.44,-395.926113969601
1.48,-405.701254754304
1.52,-410.914204474715
1.56,-414.042192478787
1.6,-417.159678540213
1.64,-420.708898246488
1.68,-425.254889992338
1.72,-431.153643497805
1.76,-438.468581278936
1.8,-446.650172540267
1.84,-455.923018424512
1.88,-468.45898883012
1.92,-484.762673048091
1.96,-502.704345367043
2,-518.796465334224
2.04,-530.479418448356
2.08,-535.124440039996
2.12,-532.528782217465
2.16,-524.09088327877
2.2,-512.014797853126
2.24,-500.654272024992
2.28,-491.044024093819
2.32,-483.084264524304
2.36,-477.007231419191
2.4,-470.560168689269
2.44,-455.530935470553
2.48,-440.850271076852
2.52,-430.84047841741
2.56,-425.734614743422
2.6,-425.306482464391
2.64,-428.253049673708
2.68,-432.912813655661
2.72,-436.524838555984
2.76,-436.708435564314
2.8,-430.994254413709
2.84,-419.341531990792
2.88,-405.650075765307
2.92000000000001,-392.050184089791
2.96000000000001,-378.662978875676
3.00000000000001,-368.5321785618
3.04000000000001,-360.060558399988
3.08000000000001,-352.959018636231
3.12000000000001,-347.007599708377
3.16000000000001,-341.505551538788
3.20000000000001,-333.171418885514
3.24000000000001,-323.456655955014
3.28000000000001,-316.198501447763
3.32000000000001,-310.826841596157
3.36000000000001,-305.691527244478
3.40000000000001,-299.719629854575
3.44000000000001,-292.794343558418
3.48000000000001,-284.833240385399
3.52000000000001,-275.860931960763
3.56000000000001,-266.64688109861
3.60000000000001,-259.118407378841
3.64000000000001,-251.308108512911
3.68000000000001,-243.309018717418
